date,open,high,low,close,volume,adj_close,change_percent,avg_vol_20d
2005-01-03,121.56,121.76,119.9,120.3,55996398,83.362,,
2005-01-04,120.46,120.54,118.44,118.83,69260703,82.3434,-1.221899667,
2005-01-05,118.74,119.25,118,118.01,65870500,81.7752,-0.690037089,
2005-01-06,118.44,119.15,118.26,118.61,47822801,82.1909,0.508344828,
2005-01-07,118.97,119.23,118.13,118.44,55852801,82.0731,-0.143324869,
2005-01-10,118.34,119.46,118.34,119,56793301,82.4612,0.472871136,
2005-01-11,118.64,118.74,117.99,118.18,63329898,81.893,-0.689051336,
2005-01-12,118.4,118.84,117.52,118.57,74289102,82.1632,0.32994273,
2005-01-13,118.64,118.73,117.5,117.62,55763602,81.5049,-0.801210274,
2005-01-14,117.97,118.53,117.76,118.24,42033602,81.9346,0.527207567,
2005-01-18,118.05,119.62,117.95,119.47,57432301,82.7869,1.040219883,
2005-01-19,119.43,119.52,118.21,118.22,54858898,81.9207,-1.046300804,
2005-01-20,117.89,118.2,117.29,117.5,72084906,81.4218,-0.609003585,
2005-01-21,117.79,118,116.65,116.78,63264801,80.9228,-0.612857982,
2005-01-24,117.09,117.34,116.37,116.55,58552602,80.7635,-0.196854286,
2005-01-25,116.91,117.47,116.72,116.88,68310906,80.9921,0.283048654,
2005-01-26,117.32,117.6,117.04,117.23,57429801,81.2347,0.299535387,
2005-01-27,117.19,117.75,116.98,117.43,56598199,81.3733,0.170616744,
2005-01-28,117.49,117.55,116.61,117.43,60813199,81.3733,0,
2005-01-31,117.97,118.25,117.71,118.16,54139301,81.8791,0.621579806,59524881.1
2005-02-01,118.25,119.08,118.1,118.91,52009602,82.3988,0.634716307,59325541.3
2005-02-02,119.06,119.59,118.9,119.27,52605699,82.6483,0.302795672,58492791.1
2005-02-03,119.04,119.16,118.57,119.11,49150699,82.5374,-0.134183038,57656801.05
2005-02-04,119,120.43,118.98,120.23,50012500,83.3135,0.940301003,57766286
2005-02-07,120.25,120.52,119.96,120.07,46212500,83.2027,-0.132991652,57284270.95
2005-02-08,120.17,120.65,120.07,120.21,39453898,83.2997,0.116582755,56417300.8
2005-02-09,120.42,120.49,119.25,119.31,55382898,82.676,-0.748742192,56019950.8
2005-02-10,119.66,120.02,119.26,119.74,46019898,82.974,0.360443176,54606490.6
2005-02-11,119.7,121.04,119.46,120.77,53271102,83.6877,0.860148962,54481865.6
2005-02-14,120.69,120.86,120.48,120.68,32548900,83.6254,-0.074443437,54007630.5
2005-02-15,120.8,121.43,120.68,121.13,44424898,83.9372,0.372853224,53357260.35
2005-02-16,120.93,121.46,120.67,121.21,51785199,83.9926,0.066001725,53203575.4
2005-02-17,121.23,121.33,120.22,120.23,58153301,83.3135,-0.808523608,52506995.15
2005-02-18,120.17,120.48,119.9,120.39,49543801,83.4244,0.133111681,51820945.15
2005-02-22,119.9,120.47,118.58,118.6,80831305,82.184,-1.486855165,52934880.3
2005-02-23,118.93,119.57,118.6247,119.45,68306508,82.773,0.716684513,52934660.4
2005-02-24,119.24,120.32,118.98,120.24,69297305,83.3205,0.661447573,53528035.6
2005-02-25,120.27,121.67,120.18,121.43,61172898,84.1451,0.98967241,53756770.55
2005-02-28,121.15,121.3,120.04,120.63,69421305,83.5907,-0.658861895,54187175.85
2005-03-01,120.78,121.52,120.78,121.23,47569102,84.0065,0.497423756,53858665.9
2005-03-02,120.76,121.93,120.65,121.17,64231801,83.9649,-0.049519978,54469775.85
2005-03-03,121.66,121.9,120.7,121.22,62095602,83.9995,0.041207695,54944271
2005-03-04,122.05,122.83,121.79,122.73,56167102,85.0459,1.245721701,55295091.15
2005-03-07,122.66,123.25,122.59,122.79,43807699,85.0875,0.048914762,54984851.1
2005-03-08,122.67,123,122.11,122.33,44661301,84.7687,-0.374673131,54907291.15
2005-03-09,121.97,122.29,120.96,120.97,73599000,83.8263,-1.111731099,56614546.25
2005-03-10,121.2,121.5,120.4,121.24,65182801,84.0134,0.22319964,57104541.4
2005-03-11,121.31,121.72,120.16,120.39,58130801,83.4244,-0.701078637,57710086.55
2005-03-14,120.61,121.16,120.28,121.14,36337699,83.9441,0.62295923,56863416.4
2005-03-15,121.42,121.46,120.08,120.14,62464102,83.2512,-0.825430257,58359176.5
2005-03-16,119.7,120.155,118.9,119.12,76723102,82.5444,-0.848996771,59974086.7
2005-03-17,119.31,119.74,118.98,119.36,62667102,82.7107,0.201467332,60518181.85
2005-03-18,119.11,119.53,118.15,118.54,61881602,82.4652,-0.296817703,60704596.9
