ID,Start time,Completion time,Email,Name,I confirm that I am 18 years of age or older and consent to participate in this study,"Are you currently employed, or have you been employed within the past 3 years?",sector,tenure,management_level,policy_exists,org_monitors,q8_policy_communicated,q9a_right_to_monitor,q9b_invasion_privacy,q9c_intervene_if_affects_org,q9d_improves_reputation,q9e_culture_mistrust,q10_appropriate_discipline,q11_discipline_proportionate,q12_scenario1,q13_scenario2,q14a_monitoring_affects_usage,q14b_avoid_opinions,q14c_consider_employer_reflection,q14d_reduces_trust,q14e_comfortable_expressing,q15_experienced_discipline,q16_open_fair_unfair,q17_open_when_appropriate,q18_open_improvements,q8_policy_communicated_num,q9a_right_to_monitor_num,q9b_invasion_privacy_num,q9c_intervene_if_affects_org_num,q9d_improves_reputation_num,q9e_culture_mistrust_num,q10_appropriate_discipline_num,q11_discipline_proportionate_num,q14a_monitoring_affects_usage_num,q14b_avoid_opinions_num,q14c_consider_employer_reflection_num,q14d_reduces_trust_num,q14e_comfortable_expressing_num,q12_scenario1_num,q13_scenario2_num
3,2026-03-16 14:19:56,2026-03-16 14:23:40,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,Less than 1 year,Non-managerial employee,No,No,Strongly agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Somewhat appropriate,Completely appropriate,Agree,Agree,Disagree,Agree,Neutral,"Yes, witnessed;",,,,5,4,4,5,2,4,4,4,4,4,2,4,3,4,5
4,2026-03-16 14:22:34,2026-03-16 14:25:06,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,Not sure,No,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Somewhat inappropriate,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,No;,,,,2,1,4,5,2,5,2,3,5,1,1,3,4,2,3
5,2026-03-16 14:28:54,2026-03-16 14:32:49,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,No,No,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Somewhat appropriate,Completely appropriate,Agree,Agree,Neutral,Agree,Agree,"Yes, witnessed;",,,,2,2,4,5,3,4,3,3,4,4,3,4,4,4,5
6,2026-03-16 14:25:08,2026-03-16 14:33:35,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Not sure,No,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat inappropriate,Completely inappropriate,Agree,Agree,Neutral,Strongly agree,Strongly disagree,"Yes, witnessed;",The organization ability to fire you for what is posted online is an infringement on free speech which makes it unfair,No I do not believe it’s ever appropriate ,Maybe issue warnings,2,2,4,2,2,5,2,2,4,4,3,5,1,2,1
7,2026-03-16 14:29:20,2026-03-16 14:34:22,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,Not sure,No,Neutral,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither agree nor disagree,Disagree,Completely inappropriate,Completely appropriate,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,No;,"It is only justified if the social media usage directly mentions/impacts the company. If it has no relationship to the company, it is none of the  company’s business how people use social media","Only if it is directly impacting the company, and firing the employee should not be the first resort ",They shouldn’t do it,3,1,4,5,2,5,3,2,2,1,1,4,5,1,5
8,2026-03-16 14:32:51,2026-03-16 14:41:02,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,Yes,No,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Completely inappropriate,Completely appropriate,Agree,Agree,Agree,Disagree,Disagree,No;,"It’s fair to a degree because if it’s online for everyone to see your employer should also be able to see it. If you are uncomfortable with them seeing it, then it doest belong online for the public to see in the first place. ",If it starts harming the companies image and if it is against the values and mission statement of the company.,Be more direct and allow employees to raise concerns or their opinions. ,2,4,2,4,4,2,3,4,4,4,4,2,2,1,5
9,2026-03-16 14:36:22,2026-03-16 14:42:12,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,1-3 years,Non-managerial employee,Yes,Not sure,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Somewhat appropriate,Completely appropriate,Strongly agree,Neutral,Agree,Disagree,Agree,No;,Reach on social media; topics discussed; whether their profile is privat or public ,If it’s harming the company’s reputation ,Communicate them more openly and straight forward so employees know exactly what to post and what not to in advance ,2,4,2,5,4,3,4,4,5,3,4,2,4,4,5
10,2026-03-16 14:40:03,2026-03-16 14:45:19,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,4-7 years,Non-managerial employee,No,No,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat inappropriate,Neutral,Agree,Disagree,Strongly disagree,Agree,Neutral,No;,I believe it is fair if it is governmental employment or a political company,If a employee is talking directly about a workplace or spreading hate speech online,I guess just letting the employee know at the date of interview ,2,2,3,4,4,4,3,4,4,2,1,4,3,2,3
11,2026-03-16 14:49:35,2026-03-16 14:52:03,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,4-7 years,Supervisor,Yes,Yes,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Somewhat inappropriate,Somewhat appropriate,Agree,Agree,Agree,Agree,Neutral,No;,Creates a sense of awkwardness in the workplace ,When it directly affects other people or the workplace environment ,Staff meetings or other activities to create a more inclusive culture ,3,3,4,4,3,4,3,3,4,4,4,4,3,2,4
12,2026-03-16 14:26:27,2026-03-16 14:54:35,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Supervisor,No,No,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly disagree,Neutral,Somewhat inappropriate,Somewhat appropriate,Neutral,Agree,Neutral,Strongly agree,Agree,No;,"Fair to monitor employees social media if they are a lead figure in the company with a public social media account, alongside if the employee is sharing information or brand damaging posts about the company. Unfair it you a base level employee with a private account.","I believe it is appropriate to intervene on employees personal social media if what they are posting is brand damaging, racist, sexiest or opinions that may often a large number of people or are viewed as bad",Hire an external company that monitors social media so employees feel as if their boss or upper management are not looking at every aspect of their life and aswell if employees have a small number of following on a private social media account.,3,1,5,4,1,5,1,3,3,4,3,5,4,2,4
13,2026-03-16 14:56:12,2026-03-16 14:59:44,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,No,No,Strongly disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Completely inappropriate,Somewhat appropriate,Neutral,Disagree,Disagree,Agree,Agree,No;,,,,1,3,3,4,3,4,2,3,3,2,2,4,4,1,4
14,2026-03-16 14:52:26,2026-03-16 15:06:56,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,1-3 years,Supervisor,No,No,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat inappropriate,Somewhat appropriate,Agree,Neutral,Disagree,Agree,Disagree,"Yes, witnessed;","Fair when it directly affects, unfair when it doesn’t directly affect or company isn’t involved on socials",When hate speech or direct religious/political hate is ensuing ,"Government jobs, marketing, basically anything with direct ties to social media ",2,1,5,4,2,4,2,2,4,3,2,4,2,2,4
15,2026-03-16 15:10:23,2026-03-16 15:14:06,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,1-3 years,Middle Management,Yes,Not sure,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Neither agree nor disagree,Agree,Completely inappropriate,Completely appropriate,Agree,Agree,Agree,Disagree,Disagree,No;,If it directly affecta the companies reputation. If it goes against companies values,Harassmenr or bullying ,Scenario based and clear,3,3,4,5,4,3,3,4,4,4,4,2,2,1,5
16,2026-03-16 15:11:40,2026-03-16 15:17:07,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,No,No,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly agree,Neutral,Completely inappropriate,Somewhat appropriate,Neutral,Agree,Strongly disagree,Agree,Agree,No;,Its fair if the person is posting hate speech or like messages. Unfair if its political opinions ,,,1,3,2,2,3,4,5,3,3,4,1,4,4,1,4
17,2026-03-16 15:10:14,2026-03-16 15:18:22,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Middle Management,No,No,Neutral,Neutral,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Completely appropriate,Agree,Agree,Agree,Neutral,Disagree,"Yes, witnessed;",Fair if your public opinion can sway the public to not supporting a company. ,When offensive language and opinions are negatively affecting someone else’s income and livelihood.,Making it clear to if they monitor employees social media or not. Making clear policies indicating on what employees can be penalized on if they post.,3,3,2,5,4,3,4,4,4,4,4,3,2,3,5
18,2026-03-16 15:50:15,2026-03-16 15:57:56,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,No,No,Disagree,Neutral,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Completely inappropriate,Completely inappropriate,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,No;,,,,2,3,4,4,2,4,1,4,1,1,1,4,4,1,1
19,2026-03-16 16:13:12,2026-03-16 16:24:41,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,Not sure,No,Strongly disagree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neither agree nor disagree,Neutral,Somewhat inappropriate,Completely appropriate,Agree,Disagree,Agree,Strongly agree,Disagree,No;,It is fair since the company could suffer consequences from an individuals social media in the case of extreme political views or the use of slurs. It is unfair as it causes employees to censor themselves in fear of being disciplined. ,"If the a post is spreading hate, violence, and/or contains the use of slurs. ","If an account is public it is fair to monitor. If an account is private, it should not be monitored since it in theory can't go viral and only selected people can see the post anyway. ",1,4,5,2,3,5,3,3,4,2,4,5,2,2,5
